#WV	FL
-2.527	2.8536E-03
-2.526	2.8464E-03
-2.525	2.8389E-03
-2.524	2.8310E-03
-2.523	2.8229E-03
-2.522	2.8144E-03
-2.521	2.8056E-03
-2.52	2.7965E-03
-2.519	2.7871E-03
-2.518	2.7774E-03
-2.517	2.7674E-03
-2.516	2.7570E-03
-2.515	2.7464E-03
-2.514	2.7354E-03
-2.513	2.7242E-03
-2.512	2.7126E-03
-2.511	2.7007E-03
-2.51	2.6885E-03
-2.509	2.6761E-03
-2.508	2.6633E-03
-2.507	2.6502E-03
-2.506	2.6368E-03
-2.505	2.6231E-03
-2.504	2.6091E-03
-2.503	2.5949E-03
-2.502	2.5803E-03
-2.501	2.5654E-03
-2.5	2.5503E-03
-2.499	2.5348E-03
-2.498	2.5191E-03
-2.497	2.5031E-03
-2.496	2.4868E-03
-2.495	2.4702E-03
-2.494	2.4533E-03
-2.493	2.4362E-03
-2.492	2.4188E-03
-2.491	2.4011E-03
-2.49	2.3831E-03
-2.489	2.3649E-03
-2.488	2.3463E-03
-2.487	2.3276E-03
-2.486	2.3085E-03
-2.485	2.2892E-03
-2.484	2.2696E-03
-2.483	2.2498E-03
-2.482	2.2297E-03
-2.481	2.2093E-03
-2.48	2.1887E-03
-2.479	2.1678E-03
-2.478	2.1467E-03
-2.477	2.1253E-03
-2.476	2.1037E-03
-2.475	2.0819E-03
-2.474	2.0598E-03
-2.473	2.0374E-03
-2.472	2.0149E-03
-2.471	1.9920E-03
-2.47	1.9690E-03
-2.469	1.9457E-03
-2.468	1.9222E-03
-2.467	1.8985E-03
-2.466	1.8746E-03
-2.465	1.8504E-03
-2.464	1.8260E-03
-2.463	1.8014E-03
-2.462	1.7766E-03
-2.461	1.7516E-03
-2.46	1.7264E-03
-2.459	1.7009E-03
-2.458	1.6753E-03
-2.457	1.6495E-03
-2.456	1.6234E-03
-2.455	1.5972E-03
-2.454	1.5708E-03
-2.453	1.5442E-03
-2.452	1.5174E-03
-2.451	1.4904E-03
-2.45	1.4633E-03
-2.449	1.4359E-03
-2.448	1.4084E-03
-2.447	1.3808E-03
-2.446	1.3529E-03
-2.445	1.3249E-03
-2.444	1.2968E-03
-2.443	1.2684E-03
-2.442	1.2400E-03
-2.441	1.2113E-03
-2.44	1.1826E-03
-2.439	1.1536E-03
-2.438	1.1245E-03
-2.437	1.0953E-03
-2.436	1.0660E-03
-2.435	1.0365E-03
-2.434	1.0069E-03
-2.433	9.7714E-04
-2.432	9.4727E-04
-2.431	9.1728E-04
-2.43	8.8718E-04
-2.429	8.5695E-04
-2.428	8.2662E-04
-2.427	7.9618E-04
-2.426	7.6563E-04
-2.425	7.3499E-04
-2.424	7.0424E-04
-2.423	6.7340E-04
-2.422	6.4246E-04
-2.421	6.1144E-04
-2.42	5.8033E-04
-2.419	5.4915E-04
-2.418	5.1788E-04
-2.417	4.8654E-04
-2.416	4.5513E-04
-2.415	4.2365E-04
-2.414	3.9210E-04
-2.413	3.6049E-04
-2.412	3.2883E-04
-2.411	2.9711E-04
-2.41	2.6534E-04
-2.409	2.3353E-04
-2.408	2.0167E-04
-2.407	1.6977E-04
-2.406	1.3783E-04
-2.405	1.0586E-04
-2.404	7.3860E-05
-2.403	4.1830E-05
-2.402	9.7800E-06
-2.401	-2.2290E-05
-2.4	-5.4370E-05
-2.399	-8.6470E-05
-2.398	-1.1857E-04
-2.397	-1.5068E-04
-2.396	-1.8279E-04
-2.395	-2.1490E-04
-2.394	-2.4701E-04
-2.393	-2.7910E-04
-2.392	-3.1119E-04
-2.391	-3.4325E-04
-2.39	-3.7530E-04
-2.389	-4.0732E-04
-2.388	-4.3932E-04
-2.387	-4.7129E-04
-2.386	-5.0322E-04
-2.385	-5.3512E-04
-2.384	-5.6697E-04
-2.383	-5.9878E-04
-2.382	-6.3055E-04
-2.381	-6.6226E-04
-2.38	-6.9391E-04
-2.379	-7.2551E-04
-2.378	-7.5705E-04
-2.377	-7.8852E-04
-2.376	-8.1992E-04
-2.375	-8.5124E-04
-2.374	-8.8250E-04
-2.373	-9.1367E-04
-2.372	-9.4476E-04
-2.371	-9.7576E-04
-2.37	-1.0067E-03
-2.369	-1.0375E-03
-2.368	-1.0682E-03
-2.367	-1.0988E-03
-2.366	-1.1294E-03
-2.365	-1.1598E-03
-2.364	-1.1901E-03
-2.363	-1.2203E-03
-2.362	-1.2503E-03
-2.361	-1.2803E-03
-2.36	-1.3101E-03
-2.359	-1.3398E-03
-2.358	-1.3694E-03
-2.357	-1.3988E-03
-2.356	-1.4281E-03
-2.355	-1.4572E-03
-2.354	-1.4863E-03
-2.353	-1.5151E-03
-2.352	-1.5438E-03
-2.351	-1.5724E-03
-2.35	-1.6008E-03
-2.349	-1.6290E-03
-2.348	-1.6571E-03
-2.347	-1.6850E-03
-2.346	-1.7127E-03
-2.345	-1.7403E-03
-2.344	-1.7677E-03
-2.343	-1.7949E-03
-2.342	-1.8219E-03
-2.341	-1.8488E-03
-2.34	-1.8754E-03
-2.339	-1.9019E-03
-2.338	-1.9282E-03
-2.337	-1.9542E-03
-2.336	-1.9801E-03
-2.335	-2.0058E-03
-2.334	-2.0312E-03
-2.333	-2.0565E-03
-2.332	-2.0815E-03
-2.331	-2.1063E-03
-2.33	-2.1309E-03
-2.329	-2.1553E-03
-2.328	-2.1795E-03
-2.327	-2.2034E-03
-2.326	-2.2271E-03
-2.325	-2.2506E-03
-2.324	-2.2738E-03
-2.323	-2.2968E-03
-2.322	-2.3196E-03
-2.321	-2.3421E-03
-2.32	-2.3643E-03
-2.319	-2.3864E-03
-2.318	-2.4081E-03
-2.317	-2.4297E-03
-2.316	-2.4509E-03
-2.315	-2.4719E-03
-2.314	-2.4927E-03
-2.313	-2.5131E-03
-2.312	-2.5333E-03
-2.311	-2.5533E-03
-2.31	-2.5730E-03
-2.309	-2.5924E-03
-2.308	-2.6115E-03
-2.307	-2.6303E-03
-2.306	-2.6489E-03
-2.305	-2.6672E-03
-2.304	-2.6852E-03
-2.303	-2.7029E-03
-2.302	-2.7203E-03
-2.301	-2.7375E-03
-2.3	-2.7543E-03
-2.299	-2.7709E-03
-2.298	-2.7871E-03
-2.297	-2.8031E-03
-2.296	-2.8188E-03
-2.295	-2.8341E-03
-2.294	-2.8492E-03
-2.293	-2.8639E-03
-2.292	-2.8784E-03
-2.291	-2.8925E-03
-2.29	-2.9063E-03
-2.289	-2.9198E-03
-2.288	-2.9330E-03
-2.287	-2.9459E-03
-2.286	-2.9584E-03
-2.285	-2.9707E-03
-2.284	-2.9826E-03
-2.283	-2.9942E-03
-2.282	-3.0054E-03
-2.281	-3.0164E-03
-2.28	-3.0270E-03
-2.279	-3.0373E-03
-2.278	-3.0473E-03
-2.277	-3.0569E-03
-2.276	-3.0662E-03
-2.275	-3.0752E-03
-2.274	-3.0838E-03
-2.273	-3.0921E-03
-2.272	-3.1000E-03
-2.271	-3.1077E-03
-2.27	-3.1149E-03
-2.269	-3.1219E-03
-2.268	-3.1285E-03
-2.267	-3.1348E-03
-2.266	-3.1407E-03
-2.265	-3.1462E-03
-2.264	-3.1515E-03
-2.263	-3.1564E-03
-2.262	-3.1609E-03
-2.261	-3.1651E-03
-2.26	-3.1690E-03
-2.259	-3.1725E-03
-2.258	-3.1756E-03
-2.257	-3.1784E-03
-2.256	-3.1809E-03
-2.255	-3.1830E-03
-2.254	-3.1847E-03
-2.253	-3.1861E-03
-2.252	-3.1872E-03
-2.251	-3.1879E-03
-2.25	-3.1882E-03
-2.249	-3.1882E-03
-2.248	-3.1879E-03
-2.247	-3.1872E-03
-2.246	-3.1861E-03
-2.245	-3.1847E-03
-2.244	-3.1829E-03
-2.243	-3.1808E-03
-2.242	-3.1784E-03
-2.241	-3.1755E-03
-2.24	-3.1724E-03
-2.239	-3.1689E-03
-2.238	-3.1650E-03
-2.237	-3.1608E-03
-2.236	-3.1562E-03
-2.235	-3.1512E-03
