# Example ARIES LBLRTM output
# WN (cm^{-1})  Rad(mW m^{-2} sr^{-1} cm)
     699.510      4.12595
     699.610      4.06347
     699.710      3.98841
     699.810      3.90803
     699.910      3.83096
     700.010      3.76715
     700.110      3.72689
     700.210      3.71900
     700.310      3.74854
     700.410      3.81487
     700.510      3.91055
     700.610      4.02199
     700.710      4.13155
     700.810      4.22092
     700.910      4.27489
     701.010      4.28450
     701.110      4.24890
     701.210      4.17540
     701.310      4.07776
     701.410      3.97332
     701.510      3.87962
     701.610      3.81134
     701.710      3.77807
     701.810      3.78331
     701.910      3.82460
     702.010      3.89449
     702.110      3.98217
     702.210      4.07525
     702.310      4.16154
     702.410      4.23069
     702.510      4.27555
     702.610      4.29313
     702.710      4.28490
     702.810      4.25659
     702.910      4.21708
     703.010      4.17678
     703.110      4.14571
     703.210      4.13166
     703.310      4.13889
     703.410      4.16773
     703.510      4.21509
     703.610      4.27564
     703.710      4.34323
     703.810      4.41205
     703.910      4.47715
     704.010      4.53419
     704.110      4.57882
     704.210      4.60606
     704.310      4.61029
     704.410      4.58623
     704.510      4.53090
     704.610      4.44589
     704.710      4.33929
     704.810      4.22626
     704.910      4.12749
     705.011      4.06571
     705.111      4.06063
     705.211      4.12358
     705.311      4.25349
     705.411      4.43530
     705.511      4.64180
     705.611      4.83865
     705.711      4.99148
     705.811      5.07353
     705.911      5.07175
     706.011      4.98982
     706.111      4.84735
     706.211      4.67528
     706.311      4.50878
     706.411      4.37944
     706.511      4.30862
     706.611      4.30358
     706.711      4.35720
     706.811      4.45105
     706.911      4.56100
     707.011      4.66356
     707.111      4.74151
     707.211      4.78744
     707.311      4.80437
     707.411      4.80365
     707.511      4.80077
     707.611      4.81042
     707.711      4.84188
     707.811      4.89623
     707.911      4.96577
     708.011      5.03605
     708.111      5.08978
     708.211      5.11177
     708.311      5.09356
     708.411      5.03661
     708.511      4.95292
     708.611      4.86299
     708.711      4.79120
     708.811      4.75979
     708.911      4.78286
     709.011      4.86197
     709.111      4.98467
     709.211      5.12656
     709.311      5.25659
     709.411      5.34441
     709.511      5.36787
     709.611      5.31870
     709.711      5.20490
     709.811      5.04884
     709.911      4.88191
     710.011      4.73680
     710.111      4.63984
     710.211      4.60528
     710.311      4.63322
     710.411      4.71135
     710.511      4.81982
     710.611      4.93755
     710.711      5.04767
     710.811      5.14066
     710.911      5.21415
     711.011      5.27005
     711.111      5.31031
     711.211      5.33338
     711.311      5.33302
     711.411      5.30040
     711.511      5.22883
     711.611      5.11951
     711.711      4.98606
     711.811      4.85541
     711.911      4.76410
     712.011      4.75016
     712.111      4.84256
     712.211      5.05109
     712.311      5.36005
     712.411      5.72789
     712.511      6.09375
     712.611      6.38964
     712.711      6.55535
     712.811      6.55253
     712.911      6.37411
     713.011      6.04694
     713.111      5.62680
     713.211      5.18735
     713.311      4.80562
     713.411      4.54759
     713.511      4.45692
     713.611      4.54873
     713.711      4.80907
     713.811      5.19931
     713.911      5.66364
     714.011      6.13803
     714.111      6.55887
     714.211      6.87055
     714.311      7.03162
     714.411      7.01946
     714.511      6.83350
     714.611      6.49662
     714.711      6.05414
     714.811      5.56968
     714.911      5.11757
     715.012      4.77229
     715.112      4.59632
     715.212      4.62850
     715.312      4.87556
     715.412      5.30881
     715.512      5.86734
     715.612      6.46741
     715.712      7.01643
     715.812      7.42881
     715.912      7.64049
     716.012      7.61946
     716.112      7.37042
     716.212      6.93315
     716.312      6.37523
     716.412      5.78091
     716.512      5.23810
     716.612      4.82560
     716.712      4.60207
     716.812      4.59807
     716.912      4.81189
     717.012      5.20948
     717.112      5.72890
     717.212      6.28880
     717.312      6.80039
     717.412      7.18129
     717.512      7.36923
     717.612      7.33301
     717.712      7.07822
     717.812      6.64611
     717.912      6.10545
     718.012      5.53856
     718.112      5.02466
     718.212      4.62430
     718.312      4.36845
     718.412      4.25500
     718.512      4.25309
     718.612      4.31396
     718.712      4.38496
     718.812      4.42292
     718.912      4.40318
     719.012      4.32244
     719.112      4.19522
     719.212      4.04599
     719.312      3.89984
     719.412      3.77512
     719.512      3.67998
     719.612      3.61341
     719.712      3.56965
     719.812      3.54340
     719.912      3.53353
     720.012      3.54354
     720.112      3.57866
     720.212      3.64106
     720.312      3.72560
     720.412      3.81855
     720.512      3.90059
     720.612      3.95372
     720.712      3.96989
     720.812      3.95796
     720.912      3.94594
     721.012      3.97649
     721.112      4.09617
     721.212      4.34093
     721.312      4.72239
     721.412      5.21942
     721.512      5.77847
     721.612      6.32357
     721.712      6.77404
     721.812      7.06505
     721.912      7.16557
     722.012      7.08810
     722.112      6.88723
     722.212      6.64693
     722.312      6.45988
     722.412      6.40418
     722.512      6.52385
     722.612      6.81789
     722.712      7.24080
     722.812      7.71372
     722.912      8.14317
     723.012      8.44219
     723.112      8.54880
     723.212      8.43781
     723.312      8.12409
     723.412      7.65762
     723.512      7.11273
     723.612      6.57435
     723.712      6.12426
     723.812      5.82958
     723.912      5.73428
     724.012      5.85415
     724.112      6.17485
     724.212      6.65285
     724.312      7.21964
     724.412      7.78921
     724.512      8.26901
     724.612      8.57376
     724.712      8.64020
     724.812      8.44035
     724.912      7.98998
     725.013      7.34982
     725.113      6.61797
     725.213      5.91418
     725.313      5.35861
     725.413      5.04918
     725.513      5.04251
     725.613      5.34235
     725.713      5.89831
     725.813      6.61495
     725.913      7.36938
     726.013      8.03340
     726.113      8.49591
     726.213      8.68123
     726.313      8.56048
     726.413      8.15460
     726.513      7.52926
     726.613      6.78333
     726.713      6.03294
     726.813      5.39391
     726.913      4.96470
     727.013      4.81184
     727.113      4.95988
     727.213      5.38682
     727.313      6.02627
     727.413      6.77634
     727.513      7.51467
     727.613      8.11775
     727.713      8.48155
     727.813      8.53997
     727.913      8.27730
     728.013      7.73220
     728.113      6.99169
     728.213      6.17606
     728.313      5.41756
     728.413      4.83686
     728.513      4.52203
     728.613      4.51409
     728.713      4.80165
     728.813      5.32513
     728.913      5.98930
     729.013      6.68095
     729.113      7.28830
     729.213      7.71850
     729.313      7.91069
     729.413      7.84309
     729.513      7.53389
     729.613      7.03649
     729.713      6.43043
     729.813      5.80935
     729.913      5.26758
     730.013      4.88668
     730.113      4.72372
     730.213      4.80257
     730.313      5.10967
     730.413      5.59531
     730.513      6.18053
     730.613      6.76913
     730.713      7.26305
     730.813      7.57859
     730.913      7.66069
     731.013      7.49261
     731.113      7.09930
     731.213      6.54359
     731.313      5.91625
     731.413      5.32128
     731.513      4.85928
     731.613      4.61132
     731.713      4.62589
     731.813      4.91063
     731.913      5.43013
     732.013      6.11007
     732.113      6.84733
     732.213      7.52513
     732.313      8.03120
     732.413      8.27667
     732.513      8.21249
     732.613      7.84046
     732.713      7.21596
     732.813      6.44116
     732.913      5.64876
     733.013      4.97870
     733.113      4.55213
     733.213      4.44770
     733.313      4.68557
     733.413      5.22284
     733.513      5.96171
     733.613      6.76888
     733.713      7.50190
     733.813      8.03665
     733.913      8.28997
     734.013      8.23282
     734.113      7.89192
     734.213      7.34045
     734.313      6.68121
     734.413      6.02638
     734.513      5.47871
     734.613      5.11714
     734.713      4.98849
     734.813      5.10480
     734.913      5.44502
     735.014      5.95930
     735.114      6.57487
     735.214      7.20331
     735.314      7.74976
     735.414      8.12456
     735.514      8.25683
     735.614      8.10856
     735.714      7.68587
     735.814      7.04410
     735.914      6.28355
     736.014      5.53479
     736.114      4.93538
     736.214      4.60217
     736.314      4.60564
     736.414      4.95279
     736.514      5.58334
     736.614      6.38093
     736.714      7.19693
     736.814      7.88142
     736.914      8.31367
     737.014      8.42515
     737.114      8.20989
     737.214      7.72093
     737.314      7.05510
     737.414      6.33090
     737.514      5.66567
     737.614      5.15690
     737.714      4.87071
     737.814      4.83770
